Point Y,Point X,InstallDate
32.21955364,-110.9929173,7/20/2016
32.21981893,-110.992426,7/20/2016
32.22005138,-110.9898771,7/20/2016
32.22906698,-110.9867408,7/20/2016
32.22864637,-110.9866388,7/20/2016
32.22825746,-110.9864555,7/20/2016
32.22787696,-110.9861233,7/20/2016
32.2273003,-110.9856651,7/20/2016
32.22664269,-110.9847569,7/20/2016
32.19938918,-110.9956623,7/20/2016
32.19962903,-110.9953246,7/20/2016
32.19936189,-110.9950741,7/20/2016
32.19938892,-110.9910702,7/20/2016
32.19964662,-110.9906988,7/20/2016
32.1996509,-110.9913869,7/20/2016
32.19938387,-110.9917105,7/20/2016
32.19963879,-110.9920281,7/20/2016
32.19939547,-110.9923599,7/20/2016
32.1996351,-110.9926962,7/20/2016
32.1993811,-110.9929915,7/20/2016
32.19964329,-110.993316,7/20/2016
32.19938398,-110.9936482,7/20/2016
32.19963075,-110.9939649,7/20/2016
32.19938812,-110.994286,7/20/2016
32.19963303,-110.9946237,7/20/2016
32.19938424,-110.9902644,7/20/2016
32.1996689,-110.9868957,7/20/2016
32.19940432,-110.9857939,7/20/2016
32.19940301,-110.9850935,7/20/2016
32.19939296,-110.9844764,7/20/2016
32.19939422,-110.9838474,7/20/2016
32.19939468,-110.983203,7/20/2016
32.19939812,-110.9825623,7/20/2016
32.19939549,-110.9819124,7/20/2016
32.19967922,-110.9860752,7/20/2016
32.19967104,-110.9854354,7/20/2016
32.19966452,-110.9848096,7/20/2016
32.19966389,-110.9840787,7/20/2016
32.19966983,-110.9834344,7/20/2016
32.19966128,-110.9828494,7/20/2016
32.19965625,-110.9822669,7/20/2016
32.19966345,-110.9816165,7/20/2016
32.19964423,-110.9809033,7/20/2016
32.19629964,-110.9979624,7/20/2016
32.19396466,-110.9981946,7/20/2016
32.19443799,-110.9979907,7/20/2016
32.19568799,-110.9979157,7/20/2016
32.19716218,-110.9978872,7/20/2016
32.19765673,-110.997716,7/20/2016
32.19965565,-110.989952,7/20/2016
32.19938967,-110.9896046,7/20/2016
32.19965721,-110.9893105,7/20/2016
32.19939408,-110.9889585,7/20/2016
32.19966021,-110.9886332,7/20/2016
32.19939117,-110.9812653,7/20/2016
32.19936392,-110.9806277,7/20/2016
32.19963546,-110.9878297,7/20/2016
32.20601807,-110.9924058,7/21/2016
32.206651,-110.9821307,7/21/2016
32.206634,-110.9813177,7/21/2016
32.229459,-110.9867317,7/21/2016
32.2250016,-110.9827658,7/21/2016
32.22412812,-110.9826393,7/21/2016
32.22371,-110.9826877,7/21/2016
32.22332177,-110.9829179,7/21/2016
32.22288153,-110.9830251,7/21/2016
32.22257059,-110.9829947,7/21/2016
32.17796036,-110.9938725,7/21/2016
32.17797099,-110.9931157,7/21/2016
32.17796699,-110.9914777,7/21/2016
32.17798578,-110.9907578,7/21/2016
32.17770999,-111.0025387,7/21/2016
32.17774199,-111.0018077,7/21/2016
32.17775299,-111.0010417,7/21/2016
32.17774299,-111.0002587,7/21/2016
32.17775599,-110.9994707,7/21/2016
32.17775199,-110.9985567,7/21/2016
32.17796859,-110.9981378,7/21/2016
32.17775599,-110.9977357,7/21/2016
32.17796868,-110.9973174,7/21/2016
32.17775275,-110.9969324,7/21/2016
32.17797009,-110.9965262,7/21/2016
32.17775729,-110.9961237,7/21/2016
